Share of modern renewables in total final energy consumption (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belarus;0,92;1,01;1,17;1,4;2,31;2,82;3,49;3,82;4,12;4,5;5,65;6,26;6,52;6,25;6,27;6,83;7,2;7,28;7,08;7,39;7,29;7,52;7,24;6,97;6,69;6,82;6,72;7,28;7,21;7,81;8,39;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;1,27;1,21;1,19;0,96;0,94;1,26;1,19;1,15;1,29;1,4;1,44;1,58;1,68;1,89;2,04;2,44;2,87;3,4;3,95;4,87;6,25;6,7;7,69;8,26;9,13;9,42;9,2;9,66;10,65;10,2;12,28;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belize;37,77;32,23;36,05;35,36;33,84;34,69;42,41;36,42;35,07;35,64;34,33;29,39;30,97;29,93;31,76;30,77;36,59;32,1;33,84;28,95;32,73;44,2;49,9;40,78;30,88;24,97;27,75;31,8;29,95;25,11;25,88;27,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benin;60,44;61,22;61,16;61,27;61,23;61,08;54,88;50,54;47,06;29,95;11,98;11,19;10,72;10,34;10,14;9,88;9,66;9,24;9,26;8,87;7,94;8,12;8,4;8,93;8,73;8,66;7,9;7,86;7,67;7,98;7,96;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bermuda;0;0;0;0;0;0,26;0,41;0,43;0,44;0,48;0,46;0,54;0,51;0,51;0,52;0,49;0,44;0,5;0,46;0,43;0,4;0,4;0,42;1,39;0,37;0,46;0,94;0,57;0,64;0,74;0,86;0,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhutan;1,73;1,84;1,81;2,01;2,95;2,84;3,43;3,54;3,99;3,72;3,62;4,34;4,7;4,76;5,21;5,04;6,02;7,5;8,78;10,63;12,55;10,57;10,98;11,17;11,62;11,98;11,45;12,01;11,51;11,61;10,84;10,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia (Plurinational State of);10,41;11,99;11,61;12,45;12,5;12,68;12,19;12,85;12,85;13,85;20,83;20,9;20,83;20,32;19,91;19,29;19,08;18,09;17,71;17,36;16,93;15,6;15,36;13,96;12,79;12,43;11,89;12,73;12,8;12,44;15,34;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonaire, Sint Eustatius and Saba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,41;12,87;13,81;13,06;11,86;10,81;13,73;12;9,94;12,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;7,3;8,76;11,57;14,61;33,38;33,22;32,85;27,6;26,74;28,43;19,35;20,27;21,21;20,14;20,1;19,73;18,12;14,84;14,28;17,43;19,57;14,16;15,28;19,48;23,65;25,25;23;18,49;35,36;36,84;37,71;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;0,62;1,02;1,29;1,6;1,13;1,43;0,05;0,05;0,04;0,04;0,04;0,03;0,03;0,03;0,01;0,01;0;0;0;0;0;0;0,05;0,04;0,02;0,04;0,08;0,09;0,09;0,1;0,13;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
